scenario,controller,seed,ttime,North_CO2,East_CO2,vehicles_NS,vehicles_EW,observed_NS,observed_EW,bus_count_NS,bus_count_EW,phase,idle_time_NS,idle_time_EW
4,Active Inference,1,2480.0,55232.458109972686,128257.3324951599,7,38,7,30,2,2,2,0.0,39.0
4,Active Inference,1,2490.0,91184.99526695594,143600.6024674328,11,34,10,25,2,2,2,3.0,0.0
4,Active Inference,1,2500.0,87513.622043272,152752.66402104514,16,30,15,24,3,1,0,45.0,0.0
4,Active Inference,1,2510.0,101144.53047197625,137030.713869641,10,37,6,20,1,2,0,0.0,33.0
4,Active Inference,1,2520.0,48459.59652051396,129017.6318156931,7,45,6,32,1,2,2,0.0,221.0
4,Active Inference,1,2530.0,71373.39248233123,197413.40754468468,10,39,10,25,2,4,2,23.0,60.0
4,Active Inference,1,2540.0,99547.06200416796,151506.32456054087,14,33,14,21,3,2,0,68.0,12.0
4,Active Inference,1,2550.0,48205.3041920072,158307.39041081496,6,39,4,31,2,4,2,0.0,40.0
4,Active Inference,1,2560.0,55408.23873172839,169293.11003175838,10,35,6,29,3,5,0,21.0,3.0
4,Active Inference,1,2570.0,30075.399708363802,160970.15041476846,7,43,4,26,2,5,2,0.0,39.0
4,Active Inference,1,2580.0,62035.697127576306,138313.3642910467,10,36,8,24,2,3,0,20.0,5.0
4,Active Inference,1,2590.0,26138.735412972987,140989.43758238154,6,40,6,26,1,4,2,0.0,58.0
